"dose","trig_events","trig_rate"
"1",0.05,2032,0.0120952380952381
"2",0.22,17214,0.102464285714286
"3",0.3,26572,0.158166666666667
"4",0.34,32360,0.192619047619048
"5",0.38,36784,0.218952380952381
"6",0.45,45656,0.271761904761905
